from_stop_id,to_stop_id,transfer_type,min_transfer_time
IDFM:472143,IDFM:472786,2,247
IDFM:monomodalStopPlace:47325,IDFM:471762,2,308
IDFM:471937,IDFM:monomodalStopPlace:47130,2,290
IDFM:monomodalStopPlace:43241,IDFM:483757,2,271
IDFM:470926,IDFM:471172,2,189
IDFM:471786,IDFM:470973,2,60
IDFM:28138,IDFM:monomodalStopPlace:43140,2,224
IDFM:11802,IDFM:460288,2,60
IDFM:monomodalStopPlace:43140,IDFM:28296,2,265
IDFM:472988,IDFM:monomodalStopPlace:411387,2,239
IDFM:28794,IDFM:41804,2,68
IDFM:480940,IDFM:monomodalStopPlace:473534,2,146
IDFM:427864,IDFM:monomodalStopPlace:47901,2,213
IDFM:monomodalStopPlace:43164,IDFM:472139,2,189
IDFM:471537,IDFM:471780,2,109
IDFM:19417,IDFM:18874,2,155
IDFM:423887,IDFM:monomodalStopPlace:46307,2,378
IDFM:471878,IDFM:472503,2,12
IDFM:470742,IDFM:18874,2,60
IDFM:27825,IDFM:471982,2,162
IDFM:monomodalStopPlace:47910,IDFM:472979,2,62
IDFM:9331,IDFM:9330,2,60
IDFM:19288,IDFM:18822,2,70
IDFM:471283,IDFM:477166,2,123
IDFM:472767,IDFM:monomodalStopPlace:46689,2,258
IDFM:471220,IDFM:472370,2,31
IDFM:471289,IDFM:471081,2,81
IDFM:monomodalStopPlace:43211,IDFM:472912,2,237
IDFM:32171,IDFM:monomodalStopPlace:47790,2,229
IDFM:monomodalStopPlace:47124,IDFM:33584,2,203
IDFM:monomodalStopPlace:43164,IDFM:486173,2,189
IDFM:472543,IDFM:472483,2,359
IDFM:monomodalStopPlace:47894,IDFM:479598,2,219
IDFM:2622,IDFM:monomodalStopPlace:45739,2,387
IDFM:472829,IDFM:monomodalStopPlace:58288,2,220
IDFM:471332,IDFM:470802,2,283
IDFM:472497,IDFM:472642,2,87
IDFM:monomodalStopPlace:427870,IDFM:471399,2,115
IDFM:472520,IDFM:472786,2,85
IDFM:28278,IDFM:monomodalStopPlace:43176,2,328
IDFM:472737,IDFM:472407,2,9
IDFM:416626,IDFM:monomodalStopPlace:47934,2,212
IDFM:monomodalStopPlace:47171,IDFM:471340,2,189
IDFM:473005,IDFM:472104,2,295
IDFM:8083,IDFM:monomodalStopPlace:47923,2,369
IDFM:20208,IDFM:12841,2,60
IDFM:411308,IDFM:471030,2,256
IDFM:472228,IDFM:471005,2,60
IDFM:472719,IDFM:471825,2,146
IDFM:monomodalStopPlace:411387,IDFM:472988,2,239
IDFM:monomodalStopPlace:45301,IDFM:40055,2,427
IDFM:monomodalStopPlace:43157,IDFM:411229,2,339
IDFM:470742,IDFM:18961,2,174
IDFM:479598,IDFM:monomodalStopPlace:47894,2,219
IDFM:21074,IDFM:monomodalStopPlace:43147,2,200
IDFM:monomodalStopPlace:44559,IDFM:5601,2,559
IDFM:471001,IDFM:471710,2,90
IDFM:483694,IDFM:472147,2,188
IDFM:35676,IDFM:monomodalStopPlace:47921,2,238
IDFM:20569,IDFM:411255,2,206
IDFM:471296,IDFM:monomodalStopPlace:473216,2,54
IDFM:411227,IDFM:monomodalStopPlace:47964,2,206
IDFM:477638,IDFM:426791,2,60
IDFM:33141,IDFM:monomodalStopPlace:47665,2,236
IDFM:9247,IDFM:monomodalStopPlace:43102,2,207
IDFM:480819,IDFM:478649,2,60
IDFM:480930,IDFM:34645,2,402
IDFM:monomodalStopPlace:46222,IDFM:38139,2,336
IDFM:473004,IDFM:472652,2,8
IDFM:411253,IDFM:471800,2,70
IDFM:470937,IDFM:471172,2,60
IDFM:12841,IDFM:20208,2,60
IDFM:471832,IDFM:monomodalStopPlace:47654,2,23
IDFM:monomodalStopPlace:42516,IDFM:31087,2,212
IDFM:472513,IDFM:472211,2,129
IDFM:monomodalStopPlace:473212,IDFM:33363,2,0
IDFM:monomodalStopPlace:43241,IDFM:471334,2,376
IDFM:37454,IDFM:monomodalStopPlace:43176,2,243
IDFM:471800,IDFM:411253,2,70
IDFM:472857,IDFM:472211,2,60
IDFM:monomodalStopPlace:47905,IDFM:11792,2,205
IDFM:472093,IDFM:471264,2,89
IDFM:monomodalStopPlace:45745,IDFM:480393,2,183
IDFM:472572,IDFM:monomodalStopPlace:47909,2,28
IDFM:18961,IDFM:monomodalStopPlace:43071,2,187
IDFM:472742,IDFM:471308,2,5
IDFM:14403,IDFM:14402,2,60
IDFM:3847,IDFM:41418,2,60
IDFM:monomodalStopPlace:43194,IDFM:19400,2,191
IDFM:472416,IDFM:470966,2,51
IDFM:477079,IDFM:monomodalStopPlace:43219,2,373
IDFM:480938,IDFM:monomodalStopPlace:473317,2,60
IDFM:12349,IDFM:481066,2,292
IDFM:41399,IDFM:3988,2,101
IDFM:471399,IDFM:31265,2,244
IDFM:477079,IDFM:479497,2,60
IDFM:471933,IDFM:471675,2,9
IDFM:411250,IDFM:monomodalStopPlace:47924,2,371
IDFM:472979,IDFM:monomodalStopPlace:47910,2,62
IDFM:483757,IDFM:10241,2,97
IDFM:30954,IDFM:31125,2,60
IDFM:483856,IDFM:monomodalStopPlace:47322,2,193
IDFM:11802,IDFM:monomodalStopPlace:43087,2,193
IDFM:471340,IDFM:483833,2,150
IDFM:3970,IDFM:3971,2,60
IDFM:481072,IDFM:471511,2,137
IDFM:monomodalStopPlace:43071,IDFM:483694,2,196
IDFM:7266,IDFM:monomodalStopPlace:43092,2,211
IDFM:monomodalStopPlace:43082,IDFM:471014,2,249
IDFM:monomodalStopPlace:47530,IDFM:472735,2,186
IDFM:18874,IDFM:18841,2,208
IDFM:472802,IDFM:monomodalStopPlace:47174,2,222
IDFM:25576,IDFM:25581,2,185
IDFM:monomodalStopPlace:58572,IDFM:22734,2,150
IDFM:471157,IDFM:monomodalStopPlace:43192,2,217
IDFM:monomodalStopPlace:411384,IDFM:471182,2,248
IDFM:472139,IDFM:monomodalStopPlace:43164,2,189
IDFM:472097,IDFM:monomodalStopPlace:43132,2,254
IDFM:486682,IDFM:485952,2,228
IDFM:37933,IDFM:monomodalStopPlace:473159,2,245
IDFM:18841,IDFM:472363,2,73
IDFM:471129,IDFM:monomodalStopPlace:47580,2,212
IDFM:18899,IDFM:482104,2,60
IDFM:monomodalStopPlace:43231,IDFM:477124,2,328
IDFM:480814,IDFM:472513,2,134
IDFM:472332,IDFM:monomodalStopPlace:47880,2,257
IDFM:472363,IDFM:472147,2,57
IDFM:17234,IDFM:472431,2,60
IDFM:472329,IDFM:monomodalStopPlace:46975,2,200
IDFM:38139,IDFM:monomodalStopPlace:46222,2,336
IDFM:479770,IDFM:479771,2,60
IDFM:33141,IDFM:411263,2,60
IDFM:470606,IDFM:monomodalStopPlace:47130,2,97
IDFM:423019,IDFM:monomodalStopPlace:47907,2,189
IDFM:monomodalStopPlace:47525,IDFM:472156,2,183
IDFM:471532,IDFM:30520,2,92
IDFM:monomodalStopPlace:46470,IDFM:26998,2,278
IDFM:monomodalStopPlace:43118,IDFM:24329,2,214
IDFM:411266,IDFM:472714,2,130
IDFM:480908,IDFM:12349,2,265
IDFM:monomodalStopPlace:47654,IDFM:471532,2,23
IDFM:470701,IDFM:470952,2,69
IDFM:monomodalStopPlace:43202,IDFM:2279,2,192
IDFM:monomodalStopPlace:43068,IDFM:2733,2,196
IDFM:479497,IDFM:471101,2,241
IDFM:monomodalStopPlace:47960,IDFM:472151,2,198
IDFM:471101,IDFM:472737,2,281
IDFM:41415,IDFM:2146,2,99
IDFM:monomodalStopPlace:411428,IDFM:470957,2,322
IDFM:27031,IDFM:monomodalStopPlace:47875,2,196
IDFM:monomodalStopPlace:43231,IDFM:470688,2,337
IDFM:480827,IDFM:480812,2,60
IDFM:480817,IDFM:478662,2,60
IDFM:471296,IDFM:40031,2,130
IDFM:monomodalStopPlace:43071,IDFM:472147,2,252
IDFM:472058,IDFM:monomodalStopPlace:412743,2,311
IDFM:471353,IDFM:monomodalStopPlace:47953,2,226
IDFM:472620,IDFM:monomodalStopPlace:46990,2,421
IDFM:472407,IDFM:470766,2,76
IDFM:486176,IDFM:monomodalStopPlace:43204,2,288
IDFM:472974,IDFM:monomodalStopPlace:47522,2,294
IDFM:471462,IDFM:472979,2,12
IDFM:483694,IDFM:18841,2,173
IDFM:monomodalStopPlace:464040,IDFM:41804,2,453
IDFM:18430,IDFM:18429,2,60
IDFM:470766,IDFM:monomodalStopPlace:43219,2,49
IDFM:20596,IDFM:20556,2,318
IDFM:22836,IDFM:41515,2,60
IDFM:19139,IDFM:478653,2,71
IDFM:470632,IDFM:472376,2,274
IDFM:480813,IDFM:478662,2,60
IDFM:36281,IDFM:monomodalStopPlace:470195,2,301
IDFM:41519,IDFM:2151,2,193
IDFM:426042,IDFM:monomodalStopPlace:47878,2,241
IDFM:11807,IDFM:monomodalStopPlace:43142,2,222
IDFM:8326,IDFM:monomodalStopPlace:58572,2,69
IDFM:470662,IDFM:monomodalStopPlace:44602,2,196
IDFM:471157,IDFM:30023,2,67
IDFM:470693,IDFM:472642,2,12
IDFM:monomodalStopPlace:43145,IDFM:472045,2,351
IDFM:8488,IDFM:monomodalStopPlace:45850,2,185
IDFM:471937,IDFM:470606,2,312
IDFM:41515,IDFM:40055,2,88
IDFM:monomodalStopPlace:47932,IDFM:424146,2,190
IDFM:36281,IDFM:22839,2,193
IDFM:monomodalStopPlace:43073,IDFM:14261,2,226
IDFM:470653,IDFM:monomodalStopPlace:411378,2,221
IDFM:11797,IDFM:8486,2,60
IDFM:471157,IDFM:472680,2,91
IDFM:30294,IDFM:monomodalStopPlace:45812,2,182
IDFM:471001,IDFM:471744,2,12
IDFM:472592,IDFM:monomodalStopPlace:411507,2,21
IDFM:41503,IDFM:471873,2,230
IDFM:34644,IDFM:481071,2,343
IDFM:32399,IDFM:monomodalStopPlace:46886,2,218
IDFM:480928,IDFM:481069,2,16
IDFM:3971,IDFM:3970,2,60
IDFM:2733,IDFM:monomodalStopPlace:43068,2,196
IDFM:471531,IDFM:471289,2,71
IDFM:472680,IDFM:monomodalStopPlace:43192,2,204
IDFM:472920,IDFM:472986,2,9
IDFM:41685,IDFM:41684,2,60
IDFM:478657,IDFM:480812,2,60
IDFM:471830,IDFM:monomodalStopPlace:47911,2,87
IDFM:7898,IDFM:monomodalStopPlace:43184,2,234
IDFM:480932,IDFM:481073,2,10
IDFM:413017,IDFM:37454,2,197
IDFM:19328,IDFM:472197,2,94
IDFM:monomodalStopPlace:462394,IDFM:39926,2,441
IDFM:471012,IDFM:monomodalStopPlace:473159,2,253
IDFM:monomodalStopPlace:46886,IDFM:32399,2,218
IDFM:472045,IDFM:monomodalStopPlace:43145,2,351
IDFM:monomodalStopPlace:44411,IDFM:422956,2,200
IDFM:480038,IDFM:472370,2,117
IDFM:monomodalStopPlace:43077,IDFM:472986,2,233
IDFM:420578,IDFM:427757,2,117
IDFM:22734,IDFM:monomodalStopPlace:462394,2,423
IDFM:22617,IDFM:478653,2,75
IDFM:471249,IDFM:471388,2,96
IDFM:11256,IDFM:monomodalStopPlace:47517,2,201
IDFM:483833,IDFM:monomodalStopPlace:47171,2,331
IDFM:480821,IDFM:480819,2,60
IDFM:monomodalStopPlace:47582,IDFM:471915,2,367
IDFM:472737,IDFM:477079,2,188
IDFM:472735,IDFM:monomodalStopPlace:47530,2,186
IDFM:8486,IDFM:monomodalStopPlace:43076,2,231
IDFM:472483,IDFM:471399,2,67
IDFM:19139,IDFM:478658,2,69
IDFM:471511,IDFM:481072,2,137
IDFM:monomodalStopPlace:43109,IDFM:33363,2,210
IDFM:30922,IDFM:30923,2,60
IDFM:37556,IDFM:41515,2,110
IDFM:478646,IDFM:19302,2,220
IDFM:471573,IDFM:monomodalStopPlace:411418,2,382
IDFM:41514,IDFM:471564,2,322
IDFM:472851,IDFM:41499,2,120
IDFM:monomodalStopPlace:43209,IDFM:20837,2,183
IDFM:39917,IDFM:monomodalStopPlace:470519,2,376
IDFM:20556,IDFM:41270,2,75
IDFM:472626,IDFM:420012,2,60
IDFM:monomodalStopPlace:47171,IDFM:471115,2,284
IDFM:483757,IDFM:411248,2,351
IDFM:486176,IDFM:486175,2,124
IDFM:478661,IDFM:478664,2,10
IDFM:monomodalStopPlace:47943,IDFM:477258,2,186
IDFM:472363,IDFM:483694,2,141
IDFM:471532,IDFM:471832,2,46
IDFM:471198,IDFM:471830,2,174
IDFM:411738,IDFM:471198,2,249
IDFM:471081,IDFM:471289,2,81
IDFM:3119,IDFM:3118,2,60
IDFM:32399,IDFM:32398,2,60
IDFM:36616,IDFM:monomodalStopPlace:47878,2,222
IDFM:32398,IDFM:32399,2,60
IDFM:18961,IDFM:472363,2,61
IDFM:477286,IDFM:479771,2,114
IDFM:monomodalStopPlace:473433,IDFM:monomodalStopPlace:47945,2,204
IDFM:monomodalStopPlace:47934,IDFM:416626,2,212
IDFM:30065,IDFM:25597,2,60
IDFM:monomodalStopPlace:46552,IDFM:411234,2,193
IDFM:422956,IDFM:monomodalStopPlace:44411,2,200
IDFM:monomodalStopPlace:46965,IDFM:13656,2,196
IDFM:37454,IDFM:28278,2,251
IDFM:monomodalStopPlace:47881,IDFM:463923,2,247
IDFM:monomodalStopPlace:42356,IDFM:471952,2,202
IDFM:477079,IDFM:471101,2,258
IDFM:30023,IDFM:monomodalStopPlace:43192,2,205
IDFM:20392,IDFM:monomodalStopPlace:57674,2,267
IDFM:monomodalStopPlace:47517,IDFM:11256,2,201
IDFM:41411,IDFM:8479,2,60
IDFM:481072,IDFM:480906,2,19
IDFM:471153,IDFM:monomodalStopPlace:46725,2,211
IDFM:471012,IDFM:37933,2,170
IDFM:monomodalStopPlace:58774,IDFM:11509,2,452
IDFM:monomodalStopPlace:43176,IDFM:413017,2,313
IDFM:2622,IDFM:41514,2,319
IDFM:471524,IDFM:470687,2,60
IDFM:471332,IDFM:472802,2,60
IDFM:470966,IDFM:monomodalStopPlace:43106,2,25
IDFM:471564,IDFM:2622,2,455
IDFM:monomodalStopPlace:47580,IDFM:471129,2,212
IDFM:472714,IDFM:419404,2,132
IDFM:472786,IDFM:monomodalStopPlace:470519,2,372
IDFM:monomodalStopPlace:43193,IDFM:472957,2,254
IDFM:472147,IDFM:monomodalStopPlace:43071,2,252
IDFM:17896,IDFM:411229,2,98
IDFM:473005,IDFM:471101,2,60
IDFM:monomodalStopPlace:46990,IDFM:480908,2,114
IDFM:477153,IDFM:monomodalStopPlace:46163,2,222
IDFM:monomodalStopPlace:462398,IDFM:477638,2,243
IDFM:32398,IDFM:monomodalStopPlace:46886,2,235
IDFM:480813,IDFM:478650,2,60
IDFM:471199,IDFM:471363,2,19
IDFM:monomodalStopPlace:58572,IDFM:39926,2,117
IDFM:472219,IDFM:472497,2,60
IDFM:monomodalStopPlace:43195,IDFM:40806,2,341
IDFM:monomodalStopPlace:45812,IDFM:481364,2,238
IDFM:427757,IDFM:420578,2,117
IDFM:18961,IDFM:18874,2,204
IDFM:monomodalStopPlace:43195,IDFM:36145,2,372
IDFM:monomodalStopPlace:42516,IDFM:471692,2,232
IDFM:471816,IDFM:10964,2,60
IDFM:419404,IDFM:30908,2,60
IDFM:411277,IDFM:monomodalStopPlace:43126,2,235
IDFM:39926,IDFM:39804,2,245
IDFM:40806,IDFM:36145,2,60
IDFM:480038,IDFM:472979,2,109
IDFM:471795,IDFM:477125,2,194
IDFM:monomodalStopPlace:43198,IDFM:481067,2,360
IDFM:470849,IDFM:471831,2,110
IDFM:monomodalStopPlace:470195,IDFM:22839,2,373
IDFM:monomodalStopPlace:46163,IDFM:40630,2,212
IDFM:monomodalStopPlace:47899,IDFM:470952,2,206
IDFM:419404,IDFM:monomodalStopPlace:47909,2,199
IDFM:471462,IDFM:monomodalStopPlace:47910,2,61
IDFM:2628,IDFM:monomodalStopPlace:45067,2,236
IDFM:478658,IDFM:478653,2,8
IDFM:monomodalStopPlace:470195,IDFM:40031,2,356
IDFM:479497,IDFM:477079,2,60
IDFM:monomodalStopPlace:43241,IDFM:10241,2,223
IDFM:30923,IDFM:30922,2,60
IDFM:37556,IDFM:22836,2,115
IDFM:34333,IDFM:monomodalStopPlace:47767,2,338
IDFM:monomodalStopPlace:43069,IDFM:424724,2,278
IDFM:479771,IDFM:477286,2,114
IDFM:monomodalStopPlace:43196,IDFM:24919,2,227
IDFM:482345,IDFM:472714,2,309
IDFM:411300,IDFM:monomodalStopPlace:43154,2,229
IDFM:39926,IDFM:8326,2,60
IDFM:472139,IDFM:486173,2,60
IDFM:17214,IDFM:17404,2,144
IDFM:19024,IDFM:19272,2,60
IDFM:472363,IDFM:monomodalStopPlace:43071,2,242
IDFM:monomodalStopPlace:47954,IDFM:481072,2,112
IDFM:37454,IDFM:413017,2,197
IDFM:32171,IDFM:32170,2,60
IDFM:470937,IDFM:monomodalStopPlace:45759,2,279
IDFM:monomodalStopPlace:43238,IDFM:2151,2,355
IDFM:28278,IDFM:37454,2,251
IDFM:monomodalStopPlace:43156,IDFM:7324,2,209
IDFM:472385,IDFM:471353,2,101
IDFM:472197,IDFM:19482,2,63
IDFM:40031,IDFM:485952,2,393
IDFM:32735,IDFM:463923,2,60
IDFM:472920,IDFM:monomodalStopPlace:43077,2,226
IDFM:monomodalStopPlace:46725,IDFM:471153,2,211
IDFM:471101,IDFM:472407,2,289
IDFM:9330,IDFM:monomodalStopPlace:47205,2,263
IDFM:monomodalStopPlace:411396,IDFM:417863,2,290
IDFM:41286,IDFM:42081,2,60
IDFM:472522,IDFM:monomodalStopPlace:43221,2,272
IDFM:5765,IDFM:monomodalStopPlace:46850,2,201
IDFM:471434,IDFM:monomodalStopPlace:47948,2,216
IDFM:472147,IDFM:19417,2,121
IDFM:monomodalStopPlace:43106,IDFM:470966,2,25
IDFM:20837,IDFM:411255,2,378
IDFM:monomodalStopPlace:43114,IDFM:472488,2,215
IDFM:monomodalStopPlace:43205,IDFM:25486,2,196
IDFM:monomodalStopPlace:46222,IDFM:471507,2,227
IDFM:12349,IDFM:480908,2,265
IDFM:37878,IDFM:monomodalStopPlace:43111,2,225
IDFM:38013,IDFM:477082,2,60
IDFM:471825,IDFM:480814,2,166
IDFM:472638,IDFM:monomodalStopPlace:48097,2,48
IDFM:15245,IDFM:monomodalStopPlace:47669,2,279
IDFM:462939,IDFM:monomodalStopPlace:43231,2,211
IDFM:monomodalStopPlace:43204,IDFM:486176,2,288
IDFM:411263,IDFM:monomodalStopPlace:47665,2,218
IDFM:monomodalStopPlace:45771,IDFM:32987,2,220
IDFM:monomodalStopPlace:47897,IDFM:8708,2,239
IDFM:483757,IDFM:25591,2,325
IDFM:monomodalStopPlace:45301,IDFM:22836,2,489
IDFM:monomodalStopPlace:43241,IDFM:470705,2,356
IDFM:41525,IDFM:monomodalStopPlace:43104,2,224
IDFM:470684,IDFM:monomodalStopPlace:47158,2,203
IDFM:480940,IDFM:481070,2,11
IDFM:471008,IDFM:472228,2,63
IDFM:monomodalStopPlace:43106,IDFM:472416,2,25
IDFM:472143,IDFM:39917,2,249
IDFM:480817,IDFM:480813,2,60
IDFM:471669,IDFM:monomodalStopPlace:473046,2,25
IDFM:471170,IDFM:477446,2,60
IDFM:monomodalStopPlace:43121,IDFM:471744,2,3
IDFM:481038,IDFM:480942,2,10
IDFM:472104,IDFM:477079,2,128
IDFM:480813,IDFM:480817,2,60
IDFM:39926,IDFM:22734,2,200
IDFM:480822,IDFM:19302,2,60
IDFM:32801,IDFM:monomodalStopPlace:47944,2,210
IDFM:26721,IDFM:462413,2,60
IDFM:monomodalStopPlace:43212,IDFM:472683,2,215
IDFM:monomodalStopPlace:51238,IDFM:27277,2,203
IDFM:486175,IDFM:monomodalStopPlace:43204,2,369
IDFM:8479,IDFM:41411,2,60
IDFM:472112,IDFM:monomodalStopPlace:47684,2,187
IDFM:472620,IDFM:481066,2,332
IDFM:411300,IDFM:472897,2,210
IDFM:monomodalStopPlace:58572,IDFM:39804,2,344
IDFM:462938,IDFM:478659,2,60
IDFM:monomodalStopPlace:47174,IDFM:471332,2,210
IDFM:472376,IDFM:470663,2,251
IDFM:472316,IDFM:472197,2,10
IDFM:monomodalStopPlace:43075,IDFM:481584,2,193
IDFM:monomodalStopPlace:47875,IDFM:27031,2,196
IDFM:479491,IDFM:471982,2,14
IDFM:472543,IDFM:471399,2,294
IDFM:monomodalStopPlace:43078,IDFM:472969,2,252
IDFM:471873,IDFM:41503,2,230
IDFM:22920,IDFM:monomodalStopPlace:473256,2,13
IDFM:470742,IDFM:472363,2,152
IDFM:471001,IDFM:monomodalStopPlace:43121,2,9
IDFM:34224,IDFM:29262,2,60
IDFM:monomodalStopPlace:45067,IDFM:17404,2,206
IDFM:monomodalStopPlace:42851,IDFM:480908,2,193
IDFM:470874,IDFM:14391,2,142
IDFM:481066,IDFM:monomodalStopPlace:46990,2,141
IDFM:470953,IDFM:39804,2,60
IDFM:3545,IDFM:3546,2,169
IDFM:34644,IDFM:480930,2,356
IDFM:470766,IDFM:472104,2,6
IDFM:monomodalStopPlace:47909,IDFM:482345,2,240
IDFM:18961,IDFM:470742,2,174
IDFM:472497,IDFM:470693,2,87
IDFM:20326,IDFM:monomodalStopPlace:43215,2,357
IDFM:monomodalStopPlace:473504,IDFM:416472,2,163
IDFM:411266,IDFM:419404,2,60
IDFM:monomodalStopPlace:43096,IDFM:471982,2,244
IDFM:monomodalStopPlace:43122,IDFM:7960,2,216
IDFM:14391,IDFM:472969,2,131
IDFM:478664,IDFM:478661,2,10
IDFM:478653,IDFM:478658,2,8
IDFM:480817,IDFM:478650,2,60
IDFM:471606,IDFM:472657,2,105
IDFM:2622,IDFM:471564,2,455
IDFM:472197,IDFM:472316,2,10
IDFM:472256,IDFM:411268,2,60
IDFM:477153,IDFM:40630,2,60
IDFM:monomodalStopPlace:464040,IDFM:28794,2,420
IDFM:463923,IDFM:32735,2,60
IDFM:31265,IDFM:472543,2,56
IDFM:13594,IDFM:monomodalStopPlace:54249,2,196
IDFM:monomodalStopPlace:43143,IDFM:471560,2,193
IDFM:monomodalStopPlace:47874,IDFM:477125,2,253
IDFM:472253,IDFM:monomodalStopPlace:47946,2,192
IDFM:41515,IDFM:37556,2,110
IDFM:14391,IDFM:monomodalStopPlace:43078,2,205
IDFM:monomodalStopPlace:47879,IDFM:8633,2,251
IDFM:472520,IDFM:monomodalStopPlace:470519,2,401
IDFM:monomodalStopPlace:47184,IDFM:41684,2,321
IDFM:monomodalStopPlace:43220,IDFM:411253,2,223
IDFM:20594,IDFM:20559,2,60
IDFM:480814,IDFM:472857,2,171
IDFM:478660,IDFM:37460,2,60
IDFM:18841,IDFM:483694,2,173
IDFM:478649,IDFM:480821,2,60
IDFM:monomodalStopPlace:415484,IDFM:472995,2,221
IDFM:472642,IDFM:472219,2,71
IDFM:monomodalStopPlace:47599,IDFM:8645,2,244
IDFM:40806,IDFM:monomodalStopPlace:43195,2,341
IDFM:monomodalStopPlace:473317,IDFM:481065,2,48
IDFM:425660,IDFM:472731,2,232
IDFM:18822,IDFM:19288,2,70
IDFM:monomodalStopPlace:43104,IDFM:41525,2,224
IDFM:479770,IDFM:478663,2,110
IDFM:471220,IDFM:480038,2,119
IDFM:481067,IDFM:480904,2,17
IDFM:18841,IDFM:18874,2,208
IDFM:483774,IDFM:monomodalStopPlace:43162,2,230
IDFM:20567,IDFM:41268,2,376
IDFM:5828,IDFM:monomodalStopPlace:43181,2,210
IDFM:25583,IDFM:472767,2,60
IDFM:30023,IDFM:472680,2,60
IDFM:478651,IDFM:19302,2,226
IDFM:472767,IDFM:25583,2,60
